Company,Ticker,CEO,hire date (female only),End Date,YOE,Exec YOE
CVS Health,CVS,Karen S. Lynch,2/1/2021,Present,0,16
General Motors,GM,Mary T. Barra,1/15/2014,Present,0,19
Elevance Health,ELV,Gail K. Boudreaux,11/20/2017,Present,6,15
Centene,CNC,Sarah M. London,3/22/2022,Present,0,9
Walgreens Boots Alliance,WBA,Ginger Graham,9/1/2023,present,-1,-1
Fannie Mae,FNMA,Priscilla Almodovar,12/5/2022,Present,2,16
Citigroup,C,Jane Fraser,2/26/2021,Present,14,14
United Parcel Service,UPS,Carol B. Tome,6/1/2020,Present,-1,-1
Progressive,PGR,Susan Patricia Griffith,7/1/2016,Present,0,14
Best Buy,BBY,Corie S. Barry,6/1/2019,Present,0,13
Oracle,ORCL,Safra A. Catz,9/18/2014,Present,-1,-1
General Dynamics,GD,Phebe N. Novakovic,1/1/2013,Present,-1,-1
Occidental Petroleum,OXY,Vicki A. Hollub,4/29/2016,Present,0,5
Northrop Grumman,NOC,Kathy J. Warden,1/1/2019,Present,0,19
Duke Energy,DUK,Lynn J. Good,7/1/2013,Present,0,0
Cummins,CMI,Jennifer Rumsey,8/1/2022,Present,0,13
Rite Aid,RAD,Elizabeth Burr,1/9/2023,Present,-1,-1
CDW,CDW,Christine A. Leahy,1/1/2019,Present,-1,-1
Advanced Micro Devices,AMD,Lisa T. Su,8/10/2014,Present,0,19
PG&E,PCG,Patricia K. Poppe,1/4/2021,Present,0,11
American Electric Power,AEP,Julia A. Sloat,1/1/2023,Present,0,20
Kinder Morgan,KMI,Kimberly Dang,8/1/2023,present,-1,-1
Lincoln National,LNC,Ellen G. Cooper,5/1/2022,Present,0,17
Ross Stores,ROST,Barbara Rentler,6/1/2014,Present,-1,-1
Lumen Technologies,LUMN,Kathleen E. Johnson,11/7/2022,present,0,22
Reliance Steel & Aluminum,RS,Karla R. Lewis,1/1/2023,Present,-1,-1
Automatic Data Processing,ADP,Maria Black,1/1/2023,present,-1,-1
Reinsurance Group of America,RGA,Anna Manning,1/1/2017,Present,0,10
Parker-Hannifin,PH,Jennifer A. Parmentier,1/1/2023,Present,-1,-1
Opendoor Technologies,OPEN,Carrie A. Wheeler,12/1/2022,Present,0,17
